customer_id,customer_add_id,name,document,customer_type,source_created_at
CLI-10000,CRM-3668,Restaurante Ferreira Oeste,67831530.532.841/0001-63,restaurante,2023-05-17T00:00:00Z
CLI-10001,CRM-3078,Bar Costa Sul,95499884.859.816/0001-59,bar,2022-02-09T00:00:00Z
CLI-10002,CRM-2629,Sorveteria Carvalho Filial,77624749.180.420/0001-74,sorveteria,2023-12-09T00:00:00Z
CLI-10003,CRM-5222,Mercado Costa Centro,57886679.111.863/0001-55,mercado,2021-04-16T00:00:00Z
CLI-10004,CRM-7276,Confeitaria Souza Filial,55813995.216.405/0001-81,confeitaria,2024-12-26T00:00:00Z
CLI-10005,CRM-3144,Padaria Oliveira Filial,97473204.837.493/0001-18,padaria,2022-04-10T00:00:00Z
CLI-10006,CRM-5315,Lanchonete Costa Norte,88951402.568.729/0001-11,lanchonete,2021-12-26T00:00:00Z
CLI-10007,CRM-4444,Lanchonete Carvalho Centro,77358923.442.306/0001-57,lanchonete,2021-12-21T00:00:00Z
CLI-10008,CRM-6087,Sorveteria Rodrigues Leste,56111517.727.983/0001-29,sorveteria,2025-02-16T00:00:00Z
CLI-10009,CRM-2447,Mercado Ferreira Centro,37630858.524.698/0001-80,mercado,2024-11-07T00:00:00Z
CLI-10010,CRM-5173,Pizzaria Rodrigues Filial,52040328.704.349/0001-91,pizzaria,2024-02-13T00:00:00Z
CLI-10011,CRM-9569,Padaria Silva Matriz,92144778.940.914/0001-26,padaria,2026-01-02T00:00:00Z
CLI-10012,CRM-9860,Sorveteria Santos Centro,20403097.706.914/0001-88,sorveteria,2025-02-13T00:00:00Z
CLI-10013,CRM-2776,Pizzaria Souza Sul,57375667.861.466/0001-30,pizzaria,2021-08-30T00:00:00Z
CLI-10014,CRM-2430,Cafeteria Carvalho Centro,70340610.250.825/0001-78,cafeteria,2023-02-09T00:00:00Z
CLI-10015,CRM-8029,Lanchonete Nascimento Centro,46506677.850.374/0001-54,lanchonete,2023-11-30T00:00:00Z
