order_id,customer_ref,channel_id,store_id,status,ordered_at,gross_value,discount_value,tax_value,net_value,product_external_id,quantity,unit_price,discount_amount,tax_amount,net_price,is_promo
PED-00001,CLI-10000,CH-APP,LOJA-01,delivered,2024-05-09T04:14:35,1246.57,0.0,64.64,1311.21,SKU-2008,1,1246.57,0.0,64.64,1311.21,False
PED-00001,CLI-10000,CH-APP,LOJA-01,delivered,2024-05-09T04:14:35,8111.84,0.0,744.94,8856.78,SKU-2007,1,6865.27,0.0,680.3,7545.57,False
PED-00001,CLI-10000,CH-APP,LOJA-01,delivered,2024-05-09T04:14:35,8440.42,0.0,774.92,9215.34,SKU-2023,2,164.29,0.0,14.99,179.28,False
PED-00001,CLI-10000,CH-APP,LOJA-01,delivered,2024-05-09T04:14:35,8453.97,0.0,775.75,9229.72,SKU-2055,1,13.55,0.0,0.83,14.38,False
PED-00002,CLI-10000,CH-APP,LOJA-01,confirmed,2024-08-08T00:37:07,328.58,72.12,23.66,280.12,SKU-2023,2,164.29,36.06,11.83,140.06,True
PED-00003,CLI-10000,CH-APP,LOJA-01,returned,2025-08-08T03:11:38,1285.11,82.14,115.83,1318.8,SKU-2020,3,428.37,27.38,38.61,439.6,True
PED-00003,CLI-10000,CH-APP,LOJA-01,returned,2025-08-08T03:11:38,2227.27,82.14,219.35,2364.48,SKU-2141,2,471.08,0.0,51.76,522.84,False
PED-00003,CLI-10000,CH-APP,LOJA-01,returned,2025-08-08T03:11:38,2245.67,82.14,220.85,2384.38,SKU-2075,1,18.4,0.0,1.5,19.9,False
PED-00003,CLI-10000,CH-APP,LOJA-01,returned,2025-08-08T03:11:38,3221.97,200.32,304.01,3325.66,SKU-2092,2,488.15,59.09,41.58,470.64,True
PED-00004,CLI-10001,CH-APP,LOJA-01,delivered,2024-04-03T12:03:03,147.8,0.0,15.72,163.52,SKU-2083,1,147.8,0.0,15.72,163.52,False
PED-00004,CLI-10001,CH-APP,LOJA-01,delivered,2024-04-03T12:03:03,189.96,0.0,18.46,208.42,SKU-2014,2,21.08,0.0,1.37,22.45,False
PED-00005,CLI-10001,CH-APP,LOJA-01,delivered,2024-04-18T20:16:50,4250.16,0.0,372.86,4623.02,SKU-2117,1,4250.16,0.0,372.86,4623.02,False
PED-00005,CLI-10001,CH-APP,LOJA-01,delivered,2024-04-18T20:16:50,17907.78,0.0,1914.08,19821.86,SKU-2036,3,4552.54,0.0,513.74,5066.28,False
PED-00005,CLI-10001,CH-APP,LOJA-01,delivered,2024-04-18T20:16:50,26826.12,0.0,2982.62,29808.74,SKU-2067,2,4459.17,0.0,534.27,4993.44,False
PED-00005,CLI-10001,CH-APP,LOJA-01,delivered,2024-04-18T20:16:50,26834.97,0.0,2983.12,29818.09,SKU-2035,1,8.85,0.0,0.5,9.35,False
PED-00006,CLI-10001,CH-APP,LOJA-01,confirmed,2024-04-19T16:44:18,22320.15,0.0,1980.36,24300.51,SKU-2016,3,7440.05,0.0,660.12,8100.17,False
PED-00006,CLI-10001,CH-APP,LOJA-01,confirmed,2024-04-19T16:44:18,23985.69,0.0,2076.99,26062.68,SKU-2098,1,1665.54,0.0,96.63,1762.17,False
PED-00006,CLI-10001,CH-APP,LOJA-01,confirmed,2024-04-19T16:44:18,39429.09,0.0,3680.04,43109.13,SKU-2097,3,5147.8,0.0,534.35,5682.15,False
PED-00006,CLI-10001,CH-APP,LOJA-01,confirmed,2024-04-19T16:44:18,39627.19,0.0,3695.98,43323.17,SKU-2119,2,99.05,0.0,7.97,107.02,False
PED-00007,CLI-10001,CH-APP,LOJA-01,delivered,2024-05-12T06:25:05,603.93,0.0,57.21,661.14,SKU-2129,3,201.31,0.0,19.07,220.38,False
PED-00007,CLI-10001,CH-APP,LOJA-01,delivered,2024-05-12T06:25:05,3775.11,0.0,298.77,4073.88,SKU-2027,3,1057.06,0.0,80.52,1137.58,False
PED-00008,CLI-10001,CH-APP,LOJA-01,cancelled,2024-06-03T18:53:46,36.84,0.0,3.98,40.82,SKU-2125,2,18.42,0.0,1.99,20.41,False
PED-00008,CLI-10001,CH-APP,LOJA-01,cancelled,2024-06-03T18:53:46,134.52,0.0,10.52,145.04,SKU-2004,2,48.84,0.0,3.27,52.11,False
PED-00008,CLI-10001,CH-APP,LOJA-01,cancelled,2024-06-03T18:53:46,2793.96,0.0,159.44,2953.4,SKU-2028,3,886.48,0.0,49.64,936.12,False
PED-00009,CLI-10001,CH-APP,LOJA-01,confirmed,2024-06-04T07:31:49,598.97,0.0,66.53,665.5,SKU-2121,1,598.97,0.0,66.53,665.5,False
PED-00009,CLI-10001,CH-APP,LOJA-01,confirmed,2024-06-04T07:31:49,1908.73,0.0,217.19,2125.92,SKU-2140,2,654.88,0.0,75.33,730.21,False
PED-00010,CLI-10001,CH-APP,LOJA-01,delivered,2024-06-12T21:45:29,385.64,0.0,21.01,406.65,SKU-2112,1,385.64,0.0,21.01,406.65,False
PED-00010,CLI-10001,CH-APP,LOJA-01,delivered,2024-06-12T21:45:29,466.41,0.0,26.35,492.76,SKU-2132,1,80.77,0.0,5.34,86.11,False
PED-00010,CLI-10001,CH-APP,LOJA-01,delivered,2024-06-12T21:45:29,476.28,1.89,26.78,501.17,SKU-2115,1,9.87,1.89,0.43,8.41,True
PED-00011,CLI-10001,CH-APP,LOJA-01,delivered,2024-06-13T03:22:48,16.01,0.0,1.79,17.8,SKU-2124,1,16.01,0.0,1.79,17.8,False
PED-00011,CLI-10001,CH-APP,LOJA-01,delivered,2024-06-13T03:22:48,131.54,0.0,13.91,145.45,SKU-2054,3,38.51,0.0,4.04,42.55,False
PED-00011,CLI-10001,CH-APP,LOJA-01,delivered,2024-06-13T03:22:48,851.88,0.0,54.81,906.69,SKU-2138,2,360.17,0.0,20.45,380.62,False
PED-00012,CLI-10001,CH-APP,LOJA-01,delivered,2024-06-17T04:25:25,54.26,0.0,5.76,60.02,SKU-2015,2,27.13,0.0,2.88,30.01,False
PED-00013,CLI-10001,CH-APP,LOJA-01,delivered,2024-06-18T17:53:17,601.75,0.0,33.26,635.01,SKU-2071,1,601.75,0.0,33.26,635.01,False
PED-00013,CLI-10001,CH-APP,LOJA-01,delivered,2024-06-18T17:53:17,3876.61,590.88,269.03,3554.76,SKU-2118,3,1091.62,196.96,78.59,973.25,True
PED-00014,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-04-02T15:29:42,1291.86,0.0,151.16,1443.02,SKU-2000,2,645.93,0.0,75.58,721.51,False
PED-00014,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-04-02T15:29:42,1734.51,0.0,188.36,1922.87,SKU-2099,3,147.55,0.0,12.4,159.95,False
PED-00014,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-04-02T15:29:42,6193.68,0.0,713.69,6907.37,SKU-2067,1,4459.17,0.0,525.33,4984.5,False
PED-00014,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-04-02T15:29:42,36083.73,0.0,2335.73,38419.46,SKU-2116,3,9963.35,0.0,540.68,10504.03,False
PED-00015,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,cancelled,2024-04-02T23:56:38,21.08,0.0,1.16,22.24,SKU-2014,1,21.08,0.0,1.16,22.24,False
PED-00015,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,cancelled,2024-04-02T23:56:38,224.11,0.0,14.65,238.76,SKU-2130,1,203.03,0.0,13.49,216.52,False
PED-00016,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-04-18T02:53:21,3068.61,0.0,265.74,3334.35,SKU-2107,3,1022.87,0.0,88.58,1111.45,False
PED-00017,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-04-19T16:24:52,184.63,32.17,13.63,166.09,SKU-2033,1,184.63,32.17,13.63,166.09,True
PED-00017,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-04-19T16:24:52,7713.17,729.55,482.0,7465.62,SKU-2076,1,7528.54,697.38,468.37,7299.53,True
PED-00017,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-04-19T16:24:52,16213.49,729.55,1430.2,16914.14,SKU-2117,2,4250.16,0.0,474.1,4724.26,False
PED-00017,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-04-19T16:24:52,16357.41,729.55,1441.82,17069.68,SKU-2080,2,71.96,0.0,5.81,77.77,False
PED-00018,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,confirmed,2024-04-22T03:35:07,942.16,0.0,53.94,996.1,SKU-2141,2,471.08,0.0,26.97,498.05,False
PED-00019,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-04-24T06:01:55,1343.19,0.0,99.39,1442.58,SKU-2069,3,447.73,0.0,33.13,480.86,False
PED-00019,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-04-24T06:01:55,2245.2,0.0,161.16,2406.36,SKU-2072,3,300.67,0.0,20.59,321.26,False
PED-00020,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-05-10T09:12:29,555.7,0.0,37.97,593.67,SKU-2070,1,555.7,0.0,37.97,593.67,False
PED-00020,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-05-10T09:12:29,813.01,0.0,63.56,876.57,SKU-2011,3,85.77,0.0,8.53,94.3,False
PED-00020,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-05-10T09:12:29,2750.8,126.06,266.15,2890.89,SKU-2000,3,645.93,42.02,67.53,671.44,True
PED-00020,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-05-10T09:12:29,2777.43,126.06,269.04,2920.41,SKU-2085,1,26.63,0.0,2.89,29.52,False
PED-00021,CLI-10002,CH-FISICO,LOJA-03,confirmed,2024-05-11T11:31:54,106.51,0.0,10.3,116.81,SKU-2091,1,106.51,0.0,10.3,116.81,False
PED-00022,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,returned,2024-05-17T02:19:25,458.56,0.0,23.72,482.28,SKU-2060,1,458.56,0.0,23.72,482.28,False
PED-00022,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,returned,2024-05-17T02:19:25,1543.06,0.0,137.33,1680.39,SKU-2041,3,361.5,0.0,37.87,399.37,False
PED-00023,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-05-24T16:21:38,1057.06,0.0,69.31,1126.37,SKU-2027,1,1057.06,0.0,69.31,1126.37,False
PED-00023,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-05-24T16:21:38,11352.66,0.0,1175.45,12528.11,SKU-2097,2,5147.8,0.0,553.07,5700.87,False
PED-00024,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-05-26T09:47:02,8218.68,0.0,801.87,9020.55,SKU-2017,3,2739.56,0.0,267.29,3006.85,False
PED-00024,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-05-26T09:47:02,10023.93,0.0,895.62,10919.55,SKU-2071,3,601.75,0.0,31.25,633.0,False
PED-00024,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-05-26T09:47:02,10458.11,0.0,946.58,11404.69,SKU-2089,2,217.09,0.0,25.48,242.57,False
PED-00025,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-05-27T04:37:42,350.74,0.0,22.2,372.94,SKU-2111,2,175.37,0.0,11.1,186.47,False
PED-00025,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-05-27T04:37:42,553.77,0.0,32.38,586.15,SKU-2130,1,203.03,0.0,10.18,213.21,False
PED-00025,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-05-27T04:37:42,1477.02,0.0,139.3,1616.32,SKU-2029,3,307.75,0.0,35.64,343.39,False
PED-00026,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,cancelled,2024-05-28T16:40:09,215.88,0.0,16.98,232.86,SKU-2080,3,71.96,0.0,5.66,77.62,False
PED-00026,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,cancelled,2024-05-28T16:40:09,1221.04,0.0,106.24,1327.28,SKU-2031,2,502.58,0.0,44.63,547.21,False
PED-00026,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,cancelled,2024-05-28T16:40:09,8749.58,0.0,978.24,9727.82,SKU-2076,1,7528.54,0.0,872.0,8400.54,False
PED-00027,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-06-13T15:30:43,15559.78,0.0,1633.82,17193.6,SKU-2077,2,7779.89,0.0,816.91,8596.8,False
PED-00028,CLI-10002,CH-TELEVENDAS,LOJA-TELEVENDAS,delivered,2024-06-16T07:23:46,320.04,0.0,23.52,343.56,SKU-2043,3,106.68,0.0,7.84,114.52,False
