product_external_id,channel_id,store_id,price
SKU-2000,CH-WEB,LOJA-WEB,645.93
SKU-2000,CH-APP,LOJA-01,626.55
SKU-2000,CH-APP,LOJA-02,632.82
SKU-2000,CH-APP,LOJA-03,620.29
SKU-2000,CH-FISICO,LOJA-01,658.85
SKU-2000,CH-FISICO,LOJA-02,665.44
SKU-2000,CH-FISICO,LOJA-03,652.26
SKU-2000,CH-FISICO,LOJA-04,672.03
SKU-2000,CH-FISICO,LOJA-05,645.67
SKU-2000,CH-TELEVENDAS,LOJA-TELEVENDAS,639.47
SKU-2001,CH-WEB,LOJA-WEB,110.44
SKU-2001,CH-APP,LOJA-01,107.13
SKU-2001,CH-APP,LOJA-02,108.2
SKU-2001,CH-APP,LOJA-03,106.06
SKU-2001,CH-FISICO,LOJA-01,112.65
SKU-2001,CH-FISICO,LOJA-02,113.78
SKU-2001,CH-FISICO,LOJA-03,111.52
SKU-2001,CH-FISICO,LOJA-04,114.9
SKU-2001,CH-FISICO,LOJA-05,110.4
SKU-2001,CH-TELEVENDAS,LOJA-TELEVENDAS,109.34
SKU-2002,CH-WEB,LOJA-WEB,194.99
SKU-2002,CH-APP,LOJA-01,189.14
SKU-2002,CH-APP,LOJA-02,191.03
SKU-2002,CH-APP,LOJA-03,187.25
SKU-2002,CH-FISICO,LOJA-01,198.89
SKU-2002,CH-FISICO,LOJA-02,200.88
SKU-2002,CH-FISICO,LOJA-03,196.9
SKU-2002,CH-FISICO,LOJA-04,202.87
SKU-2002,CH-FISICO,LOJA-05,194.91
SKU-2002,CH-TELEVENDAS,LOJA-TELEVENDAS,193.04
SKU-2003,CH-WEB,LOJA-WEB,45.19
SKU-2003,CH-APP,LOJA-01,43.83
SKU-2003,CH-APP,LOJA-02,44.27
SKU-2003,CH-APP,LOJA-03,43.4
SKU-2003,CH-FISICO,LOJA-01,46.09
SKU-2003,CH-FISICO,LOJA-02,46.55
SKU-2003,CH-FISICO,LOJA-03,45.63
SKU-2003,CH-FISICO,LOJA-04,47.02
SKU-2003,CH-FISICO,LOJA-05,45.17
SKU-2003,CH-TELEVENDAS,LOJA-TELEVENDAS,44.74
SKU-2004,CH-WEB,LOJA-WEB,48.84
SKU-2004,CH-APP,LOJA-01,47.37
SKU-2004,CH-APP,LOJA-02,47.85
SKU-2004,CH-APP,LOJA-03,46.9
SKU-2004,CH-FISICO,LOJA-01,49.82
SKU-2004,CH-FISICO,LOJA-02,50.31
SKU-2004,CH-FISICO,LOJA-03,49.32
SKU-2004,CH-FISICO,LOJA-04,50.81
SKU-2004,CH-FISICO,LOJA-05,48.82
SKU-2004,CH-TELEVENDAS,LOJA-TELEVENDAS,48.35
SKU-2005,CH-WEB,LOJA-WEB,10.83
SKU-2005,CH-APP,LOJA-01,10.51
SKU-2005,CH-APP,LOJA-02,10.61
SKU-2005,CH-APP,LOJA-03,10.4
SKU-2005,CH-FISICO,LOJA-01,11.05
SKU-2005,CH-FISICO,LOJA-02,11.16
SKU-2005,CH-FISICO,LOJA-03,10.94
