external_id,name,price,description,image_url,category,attributes,is_active
SKU-2000,Pijama C&A Relaxed Fit Preto,645.93,"Pijama C&A no estilo Relaxed Fit para o Outlet. Confeccionada em Viscose, proporciona conforto e leveza durante todo o dia. Cor Preto, disponível no tamanho M. Ideal para uso casual, passeios e encontros casuais.",https://fake-cdn.com/images/produto_2000.jpg,"[""Roupas > Feminino > Pijamas"", ""Roupas > Feminino > Outlet"", ""C&A > Feminino"", ""Ofertas > Outlet de Moda""]","{""marca"": ""C&A"", ""tipo"": ""Pijama"", ""genero"": ""Feminino"", ""cor"": ""Preto"", ""tamanho"": ""M"", ""material"": ""Viscose"", ""temporada"": ""Outlet"", ""fit"": ""Relaxed Fit""}",True
SKU-2001,Jaqueta Animale Oversized Off White,110.44,"Jaqueta Animale no estilo Oversized para o Inverno. Confeccionada em Linho, proporciona conforto e leveza durante todo o dia. Cor Off White, disponível no tamanho PP. Ideal para uso casual, passeios e encontros casuais.",https://fake-cdn.com/images/produto_2001.jpg,"[""Roupas > Feminino > Jaquetas"", ""Roupas > Feminino > Inverno"", ""Animale > Feminino""]","{""marca"": ""Animale"", ""tipo"": ""Jaqueta"", ""genero"": ""Feminino"", ""cor"": ""Off White"", ""tamanho"": ""PP"", ""material"": ""Linho"", ""temporada"": ""Inverno"", ""fit"": ""Oversized""}",True
SKU-2002,Macacão Renner Relaxed Fit Bege,194.99,"Macacão Renner no estilo Relaxed Fit para o Inverno. Confeccionada em Moletom Fleece, proporciona conforto e leveza durante todo o dia. Cor Bege, disponível no tamanho GG. Ideal para uso casual, passeios e encontros casuais.",https://fake-cdn.com/images/produto_2002.jpg,"[""Roupas > Feminino > Macacãos"", ""Roupas > Feminino > Inverno"", ""Renner > Feminino""]","{""marca"": ""Renner"", ""tipo"": ""Macacão"", ""genero"": ""Feminino"", ""cor"": ""Bege"", ""tamanho"": ""GG"", ""material"": ""Moletom Fleece"", ""temporada"": ""Inverno"", ""fit"": ""Relaxed Fit""}",True
SKU-2003,Calça Legging Tigor T. Tigre Verde Água 3-6 meses,45.19,"Calça Legging infantil Tigor T. Tigre na cor Verde Água para crianças de 3-6 meses. Fabricado em Cotton Penteado, garantindo maciez e segurança para a pele sensível dos pequenos. Fechamento prático com botões de pressão. Lavar à máquina até 40°C.",https://fake-cdn.com/images/produto_2003.jpg,"[""Roupas > Infantil > Calça Leggings"", ""Roupas > Infantil > 3-6 meses"", ""Tigor T. Tigre > Infantil""]","{""marca"": ""Tigor T. Tigre"", ""tipo"": ""Calça Legging"", ""faixa_etaria"": ""3-6 meses"", ""cor"": ""Verde Água"", ""material"": ""Cotton Penteado"", ""fechamento"": ""Elástico"", ""lavagem"": ""Máquina até 40°C""}",True
SKU-2004,Bombom Sortido Lacta 400g,48.84,"Bombom Sortido Lacta, embalagem de 400g. Chocolate orgânico, sem glúten — com sabor intenso e textura cremosa que derrete na boca. Rico em cacau, fonte de antioxidantes flavonoides e feniletilamina que melhora o humor. Perfeito para presentear, sobremesas, fondue ou consumo puro como indulgência.",https://fake-cdn.com/images/produto_2004.jpg,"[""Alimentos > Chocolates e Doces"", ""Alimentos > Lacta"", ""Alimentos > Orgânicos e Naturais""]","{""marca"": ""Lacta"", ""subcategoria"": ""Chocolates e Doces"", ""peso_volume"": ""400g"", ""vegano"": false, ""sem_gluten"": true, ""organico"": true}",True
SKU-2005,Pipoca de Microondas Ruffles 80g,10.83,"Pipoca de Microondas Ruffles, embalagem de 80g. Snack sem glúten — crocante e saboroso para beliscar entre refeições ou em momentos de lazer. Textura irresistível, tempero característico, difícil de parar de comer. Ideal para festas, cinema, happy hour ou lanche rápido.",https://fake-cdn.com/images/produto_2005.jpg,"[""Alimentos > Snacks e Petiscos"", ""Alimentos > Ruffles""]","{""marca"": ""Ruffles"", ""subcategoria"": ""Snacks e Petiscos"", ""peso_volume"": ""80g"", ""vegano"": false, ""sem_gluten"": true, ""organico"": false}",True
SKU-2006,"Smart TV LG 50"" HD LED",9112.79,"Smart TV LG de 50 polegadas com resolução HD e tecnologia de painel LED. Sistema operacional Google TV com acesso a Netflix, Prime Video, YouTube e mais. Suporte a HDR10 para imagens com maior contraste e cores vivas. 4 entradas HDMI e conectividade Wi-Fi e Bluetooth integrados. Voltagem Bivolt.",https://fake-cdn.com/images/produto_2006.jpg,"[""Eletrônicos > TVs > HD"", ""Eletrônicos > TVs > LED"", ""LG > TVs""]","{""marca"": ""LG"", ""polegadas"": ""50"", ""resolucao"": ""HD"", ""tecnologia_painel"": ""LED"", ""sistema_operacional"": ""Google TV"", ""hdr"": ""HDR10"", ""portas_hdmi"": 4, ""smart_tv"": true, ""voltagem"": ""Bivolt"", ""wi_fi"": true, ""bluetooth"": true}",True
SKU-2007,Smartphone TCL TCL 40 XL 12GB/256GB Branco,6865.27,"Smartphone TCL TCL 40 XL com 12GB de RAM e 256GB de armazenamento interno. Câmera principal de 200MP para fotos e vídeos com alta definição. Bateria de 3500mAh com carregamento rápido, tela de 6.1"". Disponível na cor Branco.",https://fake-cdn.com/images/produto_2007.jpg,"[""Eletrônicos > Smartphones"", ""Eletrônicos > Smartphones > TCL"", ""TCL > Smartphones""]","{""marca"": ""TCL"", ""modelo"": ""TCL 40 XL"", ""ram"": ""12GB"", ""armazenamento"": ""256GB"", ""camera_principal"": ""200MP"", ""bateria"": ""3500mAh"", ""tela"": ""6.1\"""", ""cor"": ""Branco"", ""5g"": false, ""sistema"": ""Android""}",True
SKU-2008,Caixa de Som Portátil Multilaser Cinza ANC Com,1246.57,"Caixa de Som Portátil Multilaser com conectividade Com fio USB-C. Cancelamento ativo de ruído (ANC) para isolamento sonoro superior. Autonomia de bateria de 10 horas com uma única carga. Resistência à água IPX4. Design confortável na cor Cinza, ideal para uso diário, academia e viagens.",https://fake-cdn.com/images/produto_2008.jpg,"[""Eletrônicos > Áudio > Caixa de Som Portátils"", ""Multilaser > Áudio"", ""Eletrônicos > Áudio > Cancelamento de Ruído""]","{""marca"": ""Multilaser"", ""tipo"": ""Caixa de Som Portátil"", ""conectividade"": ""Com fio USB-C"", ""autonomia_bateria"": ""10 horas"", ""resistencia_agua"": ""IPX4"", ""cancelamento_ruido_anc"": true, ""cor"": ""Cinza"", ""microfone_integrado"": true}",True
SKU-2009,Torradeira Mondial Aço 1200W,344.68,"Torradeira Mondial fabricado em Aço Inox Escovado. Capacidade de 1200W, cor Preto. Resistente e fácil de limpar, ideal para cozinhas modernas. Voltagem: 110v.",https://fake-cdn.com/images/produto_2009.jpg,"[""Casa e Cozinha > Eletrodomésticos Pequenos"", ""Mondial > Casa e Cozinha""]","{""marca"": ""Mondial"", ""subcategoria"": ""Eletrodomésticos Pequenos"", ""produto"": ""Torradeira"", ""material"": ""Aço Inox Escovado"", ""capacidade"": ""1200W"", ""cor"": ""Preto"", ""compativel_inducao"": false, ""voltagem"": ""110v""}",True
