id,name,price,description,image_url,category,brand,color,size,tech
SKU-2000,Regata Nike Masculino Verão,86.27,Produto original Nike.,https://fake-cdn.com/images/0.jpg,"[""Roupas > Masculino > Regatas"", ""Nike > Regatas > Verão"", ""Coleção 2026""]",Nike,Azul,P,
SKU-2001,Smart TV Apple OLED,3964.61,Produto original Apple.,https://fake-cdn.com/images/1.jpg,"[""Eletrônicos > TVs > OLED"", ""Apple > Telas > Cinema em Casa""]",Apple,,,
SKU-2002,Regata Puma Feminino Inverno,147.01,Produto original Puma.,https://fake-cdn.com/images/2.jpg,"[""Roupas > Feminino > Regatas"", ""Puma > Regatas > Inverno"", ""Coleção 2026""]",Puma,Azul,GG,
SKU-2003,Smart TV LG QLED,4378.07,Produto original LG.,https://fake-cdn.com/images/3.jpg,"[""Eletrônicos > TVs > QLED"", ""LG > Telas > Cinema em Casa""]",LG,,,
SKU-2004,Camiseta Puma Masculino Verão,218.08,Produto original Puma.,https://fake-cdn.com/images/4.jpg,"[""Roupas > Masculino > Camisetas"", ""Puma > Camisetas > Verão"", ""Coleção 2026""]",Puma,Azul,GG,
SKU-2005,Smart TV Sony OLED,3498.39,Produto original Sony.,https://fake-cdn.com/images/5.jpg,"[""Eletrônicos > TVs > OLED"", ""Sony > Telas > Cinema em Casa""]",Sony,,,
SKU-2006,Camiseta Adidas Feminino Inverno,131.33,Produto original Adidas.,https://fake-cdn.com/images/6.jpg,"[""Roupas > Feminino > Camisetas"", ""Adidas > Camisetas > Inverno"", ""Coleção 2026""]",Adidas,Branco,P,
SKU-2007,Smart TV Sony 4K,4923.71,Produto original Sony.,https://fake-cdn.com/images/7.jpg,"[""Eletrônicos > TVs > 4K"", ""Sony > Telas > Cinema em Casa""]",Sony,,,
SKU-2008,Jaqueta Nike Masculino Verão,173.97,Produto original Nike.,https://fake-cdn.com/images/8.jpg,"[""Roupas > Masculino > Jaquetas"", ""Nike > Jaquetas > Verão"", ""Coleção 2026""]",Nike,Vermelho,GG,
SKU-2009,Smart TV Sony QLED,4257.17,Produto original Sony.,https://fake-cdn.com/images/9.jpg,"[""Eletrônicos > TVs > QLED"", ""Sony > Telas > Cinema em Casa""]",Sony,,,
SKU-2010,Camiseta Nike Masculino Outlet,97.84,Produto original Nike.,https://fake-cdn.com/images/10.jpg,"[""Roupas > Masculino > Camisetas"", ""Nike > Camisetas > Outlet"", ""Coleção 2026"", ""Ofertas > Últimas Peças""]",Nike,Preto,M,
SKU-2011,Smart TV Samsung 4K,3226.67,Produto original Samsung.,https://fake-cdn.com/images/11.jpg,"[""Eletrônicos > TVs > 4K"", ""Samsung > Telas > Cinema em Casa""]",Samsung,,,
SKU-2012,Camiseta Under Armour Feminino Verão,206.47,Produto original Under Armour.,https://fake-cdn.com/images/12.jpg,"[""Roupas > Feminino > Camisetas"", ""Under Armour > Camisetas > Verão"", ""Coleção 2026""]",Under Armour,Vermelho,P,
SKU-2013,Smart TV LG OLED,4083.58,Produto original LG.,https://fake-cdn.com/images/13.jpg,"[""Eletrônicos > TVs > OLED"", ""LG > Telas > Cinema em Casa""]",LG,,,
SKU-2014,Camiseta Adidas Masculino Outlet,274.62,Produto original Adidas.,https://fake-cdn.com/images/14.jpg,"[""Roupas > Masculino > Camisetas"", ""Adidas > Camisetas > Outlet"", ""Coleção 2026"", ""Ofertas > Últimas Peças""]",Adidas,Azul,GG,
SKU-2015,Smart TV Sony OLED,4776.82,Produto original Sony.,https://fake-cdn.com/images/15.jpg,"[""Eletrônicos > TVs > OLED"", ""Sony > Telas > Cinema em Casa""]",Sony,,,
SKU-2016,Jaqueta Puma Feminino Verão,245.46,Produto original Puma.,https://fake-cdn.com/images/16.jpg,"[""Roupas > Feminino > Jaquetas"", ""Puma > Jaquetas > Verão"", ""Coleção 2026""]",Puma,Preto,GG,
SKU-2017,Smart TV Sony 4K,4795.19,Produto original Sony.,https://fake-cdn.com/images/17.jpg,"[""Eletrônicos > TVs > 4K"", ""Sony > Telas > Cinema em Casa""]",Sony,,,
SKU-2018,Regata Under Armour Masculino Inverno,242.52,Produto original Under Armour.,https://fake-cdn.com/images/18.jpg,"[""Roupas > Masculino > Regatas"", ""Under Armour > Regatas > Inverno"", ""Coleção 2026""]",Under Armour,Branco,P,
SKU-2019,Smart TV LG QLED,4348.54,Produto original LG.,https://fake-cdn.com/images/19.jpg,"[""Eletrônicos > TVs > QLED"", ""LG > Telas > Cinema em Casa""]",LG,,,
SKU-2020,Camiseta Nike Masculino Inverno,257.58,Produto original Nike.,https://fake-cdn.com/images/20.jpg,"[""Roupas > Masculino > Camisetas"", ""Nike > Camisetas > Inverno"", ""Coleção 2026""]",Nike,Branco,M,
SKU-2021,Smart TV Apple OLED,3114.19,Produto original Apple.,https://fake-cdn.com/images/21.jpg,"[""Eletrônicos > TVs > OLED"", ""Apple > Telas > Cinema em Casa""]",Apple,,,
SKU-2022,Regata Adidas Masculino Verão,239.78,Produto original Adidas.,https://fake-cdn.com/images/22.jpg,"[""Roupas > Masculino > Regatas"", ""Adidas > Regatas > Verão"", ""Coleção 2026""]",Adidas,Vermelho,GG,
SKU-2023,Smart TV LG OLED,3625.14,Produto original LG.,https://fake-cdn.com/images/23.jpg,"[""Eletrônicos > TVs > OLED"", ""LG > Telas > Cinema em Casa""]",LG,,,
SKU-2024,Jaqueta Adidas Feminino Verão,265.94,Produto original Adidas.,https://fake-cdn.com/images/24.jpg,"[""Roupas > Feminino > Jaquetas"", ""Adidas > Jaquetas > Verão"", ""Coleção 2026""]",Adidas,Vermelho,P,
SKU-2025,Smart TV Sony QLED,2674.95,Produto original Sony.,https://fake-cdn.com/images/25.jpg,"[""Eletrônicos > TVs > QLED"", ""Sony > Telas > Cinema em Casa""]",Sony,,,
SKU-2026,Jaqueta Under Armour Feminino Verão,240.35,Produto original Under Armour.,https://fake-cdn.com/images/26.jpg,"[""Roupas > Feminino > Jaquetas"", ""Under Armour > Jaquetas > Verão"", ""Coleção 2026""]",Under Armour,Preto,GG,
SKU-2027,Smart TV Sony QLED,2377.77,Produto original Sony.,https://fake-cdn.com/images/27.jpg,"[""Eletrônicos > TVs > QLED"", ""Sony > Telas > Cinema em Casa""]",Sony,,,
SKU-2028,Camiseta Puma Feminino Inverno,105.29,Produto original Puma.,https://fake-cdn.com/images/28.jpg,"[""Roupas > Feminino > Camisetas"", ""Puma > Camisetas > Inverno"", ""Coleção 2026""]",Puma,Vermelho,P,
SKU-2029,Smart TV LG 4K,4336.07,Produto original LG.,https://fake-cdn.com/images/29.jpg,"[""Eletrônicos > TVs > 4K"", ""LG > Telas > Cinema em Casa""]",LG,,,
SKU-2030,Camiseta Adidas Masculino Outlet,165.96,Produto original Adidas.,https://fake-cdn.com/images/30.jpg,"[""Roupas > Masculino > Camisetas"", ""Adidas > Camisetas > Outlet"", ""Coleção 2026"", ""Ofertas > Últimas Peças""]",Adidas,Azul,G,
SKU-2031,Smart TV Apple OLED,3287.08,Produto original Apple.,https://fake-cdn.com/images/31.jpg,"[""Eletrônicos > TVs > OLED"", ""Apple > Telas > Cinema em Casa""]",Apple,,,
SKU-2032,Regata Puma Feminino Inverno,185.7,Produto original Puma.,https://fake-cdn.com/images/32.jpg,"[""Roupas > Feminino > Regatas"", ""Puma > Regatas > Inverno"", ""Coleção 2026""]",Puma,Azul,G,
SKU-2033,Smart TV LG OLED,2092.76,Produto original LG.,https://fake-cdn.com/images/33.jpg,"[""Eletrônicos > TVs > OLED"", ""LG > Telas > Cinema em Casa""]",LG,,,
SKU-2034,Camiseta Nike Feminino Outlet,180.92,Produto original Nike.,https://fake-cdn.com/images/34.jpg,"[""Roupas > Feminino > Camisetas"", ""Nike > Camisetas > Outlet"", ""Coleção 2026"", ""Ofertas > Últimas Peças""]",Nike,Vermelho,GG,
SKU-2035,Smart TV Sony QLED,4871.97,Produto original Sony.,https://fake-cdn.com/images/35.jpg,"[""Eletrônicos > TVs > QLED"", ""Sony > Telas > Cinema em Casa""]",Sony,,,
SKU-2036,Camiseta Under Armour Masculino Verão,293.08,Produto original Under Armour.,https://fake-cdn.com/images/36.jpg,"[""Roupas > Masculino > Camisetas"", ""Under Armour > Camisetas > Verão"", ""Coleção 2026""]",Under Armour,Branco,G,
SKU-2037,Smart TV Samsung QLED,4458.87,Produto original Samsung.,https://fake-cdn.com/images/37.jpg,"[""Eletrônicos > TVs > QLED"", ""Samsung > Telas > Cinema em Casa""]",Samsung,,,
SKU-2038,Regata Nike Feminino Inverno,86.83,Produto original Nike.,https://fake-cdn.com/images/38.jpg,"[""Roupas > Feminino > Regatas"", ""Nike > Regatas > Inverno"", ""Coleção 2026""]",Nike,Azul,GG,
