product_external_id,channel_id,store_id,quantity,available
SKU-2000,CH-WEB,LOJA-WEB,121,True
SKU-2000,CH-APP,LOJA-01,128,True
SKU-2000,CH-APP,LOJA-02,82,True
SKU-2000,CH-APP,LOJA-03,178,True
SKU-2000,CH-FISICO,LOJA-01,166,True
SKU-2000,CH-FISICO,LOJA-02,138,True
SKU-2000,CH-FISICO,LOJA-03,140,True
SKU-2000,CH-FISICO,LOJA-04,52,True
SKU-2000,CH-FISICO,LOJA-05,153,True
SKU-2000,CH-TELEVENDAS,LOJA-TELEVENDAS,189,True
SKU-2001,CH-WEB,LOJA-WEB,184,True
SKU-2001,CH-APP,LOJA-01,107,True
SKU-2001,CH-APP,LOJA-02,50,True
SKU-2001,CH-APP,LOJA-03,42,True
SKU-2001,CH-FISICO,LOJA-01,56,True
SKU-2001,CH-FISICO,LOJA-02,81,True
SKU-2001,CH-FISICO,LOJA-03,10,True
SKU-2001,CH-FISICO,LOJA-04,187,True
SKU-2001,CH-FISICO,LOJA-05,100,True
SKU-2001,CH-TELEVENDAS,LOJA-TELEVENDAS,184,True
SKU-2002,CH-WEB,LOJA-WEB,163,True
SKU-2002,CH-APP,LOJA-01,139,True
SKU-2002,CH-APP,LOJA-02,38,True
SKU-2002,CH-APP,LOJA-03,77,True
SKU-2002,CH-FISICO,LOJA-01,194,True
SKU-2002,CH-FISICO,LOJA-02,102,True
SKU-2002,CH-FISICO,LOJA-03,117,True
SKU-2002,CH-FISICO,LOJA-04,165,True
SKU-2002,CH-FISICO,LOJA-05,171,True
SKU-2002,CH-TELEVENDAS,LOJA-TELEVENDAS,42,True
SKU-2003,CH-WEB,LOJA-WEB,83,True
SKU-2003,CH-APP,LOJA-01,149,True
SKU-2003,CH-APP,LOJA-02,9,True
SKU-2003,CH-APP,LOJA-03,44,True
SKU-2003,CH-FISICO,LOJA-01,47,True
SKU-2003,CH-FISICO,LOJA-02,149,True
SKU-2003,CH-FISICO,LOJA-03,95,True
SKU-2003,CH-FISICO,LOJA-04,71,True
SKU-2003,CH-FISICO,LOJA-05,93,True
SKU-2003,CH-TELEVENDAS,LOJA-TELEVENDAS,64,True
SKU-2004,CH-WEB,LOJA-WEB,44,True
SKU-2004,CH-APP,LOJA-01,71,True
SKU-2004,CH-APP,LOJA-02,87,True
SKU-2004,CH-APP,LOJA-03,82,True
SKU-2004,CH-FISICO,LOJA-01,25,True
SKU-2004,CH-FISICO,LOJA-02,76,True
SKU-2004,CH-FISICO,LOJA-03,106,True
SKU-2004,CH-FISICO,LOJA-04,73,True
SKU-2004,CH-FISICO,LOJA-05,127,True
SKU-2004,CH-TELEVENDAS,LOJA-TELEVENDAS,157,True
SKU-2005,CH-WEB,LOJA-WEB,4,True
SKU-2005,CH-APP,LOJA-01,119,True
SKU-2005,CH-APP,LOJA-02,53,True
SKU-2005,CH-APP,LOJA-03,189,True
SKU-2005,CH-FISICO,LOJA-01,194,True
SKU-2005,CH-FISICO,LOJA-02,168,True
SKU-2005,CH-FISICO,LOJA-03,136,True
SKU-2005,CH-FISICO,LOJA-04,170,True
SKU-2005,CH-FISICO,LOJA-05,57,True
SKU-2005,CH-TELEVENDAS,LOJA-TELEVENDAS,44,True
SKU-2006,CH-WEB,LOJA-WEB,8,True
SKU-2006,CH-APP,LOJA-01,175,True
SKU-2006,CH-APP,LOJA-02,113,True
SKU-2006,CH-APP,LOJA-03,61,True
SKU-2006,CH-FISICO,LOJA-01,78,True
SKU-2006,CH-FISICO,LOJA-02,20,True
